Setting TERRIER_HOME to /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0
FATAL - Failed to load index. Index not found: /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0/var/index/data.properties not found.
A problem occurred: java.lang.IllegalArgumentException: Failed to load index: Index not found: /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0/var/index/data.properties not found.
java.lang.IllegalArgumentException: Failed to load index: Index not found: /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0/var/index/data.properties not found.
	at org.terrier.applications.batchquerying.TRECQuerying.loadIndex(TRECQuerying.java:359)
	at org.terrier.applications.batchquerying.TRECQuerying.<init>(TRECQuerying.java:270)
	at org.terrier.applications.TrecTerrier.run(TrecTerrier.java:414)
	at org.terrier.applications.TrecTerrier.applyOptions(TrecTerrier.java:588)
	at org.terrier.applications.TrecTerrier.main(TrecTerrier.java:245)
num_ret               	801	1000
num_rel               	801	128
num_rel_ret           	801	118
map                   	801	0.5001
Rprec                 	801	0.5234
bpref                 	801	0.5566
recip_rank            	801	1.0000
iprec_at_recall_0.00  	801	1.0000
iprec_at_recall_0.10  	801	0.8667
iprec_at_recall_0.20  	801	0.7115
iprec_at_recall_0.30  	801	0.7000
iprec_at_recall_0.40  	801	0.6163
iprec_at_recall_0.50  	801	0.5276
iprec_at_recall_0.60  	801	0.4724
iprec_at_recall_0.70  	801	0.3206
iprec_at_recall_0.80  	801	0.2972
iprec_at_recall_0.90  	801	0.1827
iprec_at_recall_1.00  	801	0.0000
P_5                   	801	0.8000
P_10                  	801	0.8000
P_15                  	801	0.8667
P_20                  	801	0.8000
P_30                  	801	0.6667
P_100                 	801	0.5800
P_200                 	801	0.4000
P_500                 	801	0.2280
P_1000                	801	0.1180
num_ret               	802	1000
num_rel               	802	162
num_rel_ret           	802	103
map                   	802	0.3190
Rprec                 	802	0.3642
bpref                 	802	0.3855
recip_rank            	802	1.0000
iprec_at_recall_0.00  	802	1.0000
iprec_at_recall_0.10  	802	0.8261
iprec_at_recall_0.20  	802	0.7447
iprec_at_recall_0.30  	802	0.5158
iprec_at_recall_0.40  	802	0.2797
iprec_at_recall_0.50  	802	0.1871
iprec_at_recall_0.60  	802	0.1234
iprec_at_recall_0.70  	802	0.0000
iprec_at_recall_0.80  	802	0.0000
iprec_at_recall_0.90  	802	0.0000
iprec_at_recall_1.00  	802	0.0000
P_5                   	802	1.0000
P_10                  	802	1.0000
P_15                  	802	0.9333
P_20                  	802	0.8000
P_30                  	802	0.7667
P_100                 	802	0.5000
P_200                 	802	0.3150
P_500                 	802	0.1640
P_1000                	802	0.1030
num_ret               	803	1000
num_rel               	803	12
num_rel_ret           	803	0
map                   	803	0.0000
Rprec                 	803	0.0000
bpref                 	803	0.0000
recip_rank            	803	0.0000
iprec_at_recall_0.00  	803	0.0000
iprec_at_recall_0.10  	803	0.0000
iprec_at_recall_0.20  	803	0.0000
iprec_at_recall_0.30  	803	0.0000
iprec_at_recall_0.40  	803	0.0000
iprec_at_recall_0.50  	803	0.0000
iprec_at_recall_0.60  	803	0.0000
iprec_at_recall_0.70  	803	0.0000
iprec_at_recall_0.80  	803	0.0000
iprec_at_recall_0.90  	803	0.0000
iprec_at_recall_1.00  	803	0.0000
P_5                   	803	0.0000
P_10                  	803	0.0000
P_15                  	803	0.0000
P_20                  	803	0.0000
P_30                  	803	0.0000
P_100                 	803	0.0000
P_200                 	803	0.0000
P_500                 	803	0.0000
P_1000                	803	0.0000
num_ret               	804	1000
num_rel               	804	190
num_rel_ret           	804	177
map                   	804	0.5210
Rprec                 	804	0.5947
bpref                 	804	0.6855
recip_rank            	804	0.3333
iprec_at_recall_0.00  	804	0.7143
iprec_at_recall_0.10  	804	0.6712
iprec_at_recall_0.20  	804	0.6712
iprec_at_recall_0.30  	804	0.6259
iprec_at_recall_0.40  	804	0.6259
iprec_at_recall_0.50  	804	0.6076
iprec_at_recall_0.60  	804	0.5961
iprec_at_recall_0.70  	804	0.5195
iprec_at_recall_0.80  	804	0.4967
iprec_at_recall_0.90  	804	0.3190
iprec_at_recall_1.00  	804	0.0000
P_5                   	804	0.6000
P_10                  	804	0.6000
P_15                  	804	0.6667
P_20                  	804	0.6000
P_30                  	804	0.5667
P_100                 	804	0.6000
P_200                 	804	0.5900
P_500                 	804	0.3380
P_1000                	804	0.1770
num_ret               	805	1000
num_rel               	805	6
num_rel_ret           	805	4
map                   	805	0.0847
Rprec                 	805	0.1667
bpref                 	805	0.0278
recip_rank            	805	0.1667
iprec_at_recall_0.00  	805	0.1818
iprec_at_recall_0.10  	805	0.1818
iprec_at_recall_0.20  	805	0.1818
iprec_at_recall_0.30  	805	0.1818
iprec_at_recall_0.40  	805	0.1071
iprec_at_recall_0.50  	805	0.1071
iprec_at_recall_0.60  	805	0.0526
iprec_at_recall_0.70  	805	0.0000
iprec_at_recall_0.80  	805	0.0000
iprec_at_recall_0.90  	805	0.0000
iprec_at_recall_1.00  	805	0.0000
P_5                   	805	0.0000
P_10                  	805	0.1000
P_15                  	805	0.1333
P_20                  	805	0.1000
P_30                  	805	0.1000
P_100                 	805	0.0400
P_200                 	805	0.0200
P_500                 	805	0.0080
P_1000                	805	0.0040
num_ret               	806	1000
num_rel               	806	77
num_rel_ret           	806	10
map                   	806	0.0154
Rprec                 	806	0.0519
bpref                 	806	0.0541
recip_rank            	806	0.3333
iprec_at_recall_0.00  	806	0.4000
iprec_at_recall_0.10  	806	0.0450
iprec_at_recall_0.20  	806	0.0000
iprec_at_recall_0.30  	806	0.0000
iprec_at_recall_0.40  	806	0.0000
iprec_at_recall_0.50  	806	0.0000
iprec_at_recall_0.60  	806	0.0000
iprec_at_recall_0.70  	806	0.0000
iprec_at_recall_0.80  	806	0.0000
iprec_at_recall_0.90  	806	0.0000
iprec_at_recall_1.00  	806	0.0000
P_5                   	806	0.4000
P_10                  	806	0.2000
P_15                  	806	0.1333
P_20                  	806	0.1000
P_30                  	806	0.1000
P_100                 	806	0.0500
P_200                 	806	0.0450
P_500                 	806	0.0200
P_1000                	806	0.0100
num_ret               	807	1000
num_rel               	807	146
num_rel_ret           	807	135
map                   	807	0.6221
Rprec                 	807	0.5822
bpref                 	807	0.7020
recip_rank            	807	1.0000
iprec_at_recall_0.00  	807	1.0000
iprec_at_recall_0.10  	807	0.9310
iprec_at_recall_0.20  	807	0.8500
iprec_at_recall_0.30  	807	0.8302
iprec_at_recall_0.40  	807	0.6941
iprec_at_recall_0.50  	807	0.6325
iprec_at_recall_0.60  	807	0.6024
iprec_at_recall_0.70  	807	0.6000
iprec_at_recall_0.80  	807	0.4795
iprec_at_recall_0.90  	807	0.2716
iprec_at_recall_1.00  	807	0.0000
P_5                   	807	1.0000
P_10                  	807	0.8000
P_15                  	807	0.8667
P_20                  	807	0.9000
P_30                  	807	0.9000
P_100                 	807	0.6800
P_200                 	807	0.5400
P_500                 	807	0.2660
P_1000                	807	0.1350
num_ret               	808	1000
num_rel               	808	87
num_rel_ret           	808	73
map                   	808	0.5792
Rprec                 	808	0.5977
bpref                 	808	0.5959
recip_rank            	808	1.0000
iprec_at_recall_0.00  	808	1.0000
iprec_at_recall_0.10  	808	1.0000
iprec_at_recall_0.20  	808	1.0000
iprec_at_recall_0.30  	808	0.9310
iprec_at_recall_0.40  	808	0.7463
iprec_at_recall_0.50  	808	0.7463
iprec_at_recall_0.60  	808	0.6044
iprec_at_recall_0.70  	808	0.1548
iprec_at_recall_0.80  	808	0.0732
iprec_at_recall_0.90  	808	0.0000
iprec_at_recall_1.00  	808	0.0000
P_5                   	808	1.0000
P_10                  	808	1.0000
P_15                  	808	1.0000
P_20                  	808	1.0000
P_30                  	808	0.9000
P_100                 	808	0.5600
P_200                 	808	0.2950
P_500                 	808	0.1360
P_1000                	808	0.0730
num_ret               	809	1000
num_rel               	809	171
num_rel_ret           	809	134
map                   	809	0.3272
Rprec                 	809	0.3801
bpref                 	809	0.4716
recip_rank            	809	1.0000
iprec_at_recall_0.00  	809	1.0000
iprec_at_recall_0.10  	809	0.6000
iprec_at_recall_0.20  	809	0.5135
iprec_at_recall_0.30  	809	0.4390
iprec_at_recall_0.40  	809	0.3807
iprec_at_recall_0.50  	809	0.3675
iprec_at_recall_0.60  	809	0.2766
iprec_at_recall_0.70  	809	0.1980
iprec_at_recall_0.80  	809	0.0000
iprec_at_recall_0.90  	809	0.0000
iprec_at_recall_1.00  	809	0.0000
P_5                   	809	1.0000
P_10                  	809	0.7000
