Setting TERRIER_HOME to /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0
FATAL - Failed to load index. Index not found: /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0/var/index/data.properties not found.
A problem occurred: java.lang.IllegalArgumentException: Failed to load index: Index not found: /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0/var/index/data.properties not found.
java.lang.IllegalArgumentException: Failed to load index: Index not found: /media/workspace/IR-Reproducibility/systems/terrier/terrier-4.0/var/index/data.properties not found.
	at org.terrier.applications.batchquerying.TRECQuerying.loadIndex(TRECQuerying.java:359)
	at org.terrier.applications.batchquerying.TRECQuerying.<init>(TRECQuerying.java:270)
	at org.terrier.applications.TrecTerrier.run(TrecTerrier.java:414)
	at org.terrier.applications.TrecTerrier.applyOptions(TrecTerrier.java:588)
	at org.terrier.applications.TrecTerrier.main(TrecTerrier.java:245)
num_ret               	751	1000
num_rel               	751	77
num_rel_ret           	751	76
map                   	751	0.3541
Rprec                 	751	0.3506
bpref                 	751	0.2682
recip_rank            	751	1.0000
iprec_at_recall_0.00  	751	1.0000
iprec_at_recall_0.10  	751	0.7333
iprec_at_recall_0.20  	751	0.3818
iprec_at_recall_0.30  	751	0.3590
iprec_at_recall_0.40  	751	0.3333
iprec_at_recall_0.50  	751	0.2857
iprec_at_recall_0.60  	751	0.2857
iprec_at_recall_0.70  	751	0.2857
iprec_at_recall_0.80  	751	0.2351
iprec_at_recall_0.90  	751	0.2280
iprec_at_recall_1.00  	751	0.0000
P_5                   	751	0.8000
P_10                  	751	0.6000
P_15                  	751	0.7333
P_20                  	751	0.5500
P_30                  	751	0.3667
P_100                 	751	0.3200
P_200                 	751	0.2800
P_500                 	751	0.1500
P_1000                	751	0.0760
num_ret               	752	1000
num_rel               	752	349
num_rel_ret           	752	285
map                   	752	0.5619
Rprec                 	752	0.5731
bpref                 	752	0.6792
recip_rank            	752	1.0000
iprec_at_recall_0.00  	752	1.0000
iprec_at_recall_0.10  	752	0.8851
iprec_at_recall_0.20  	752	0.8851
iprec_at_recall_0.30  	752	0.8618
iprec_at_recall_0.40  	752	0.8284
iprec_at_recall_0.50  	752	0.7000
iprec_at_recall_0.60  	752	0.5535
iprec_at_recall_0.70  	752	0.3984
iprec_at_recall_0.80  	752	0.3118
iprec_at_recall_0.90  	752	0.0000
iprec_at_recall_1.00  	752	0.0000
P_5                   	752	0.8000
P_10                  	752	0.6000
P_15                  	752	0.7333
P_20                  	752	0.8000
P_30                  	752	0.8000
P_100                 	752	0.8600
P_200                 	752	0.7750
P_500                 	752	0.4560
P_1000                	752	0.2850
num_ret               	753	1000
num_rel               	753	45
num_rel_ret           	753	45
map                   	753	0.2859
Rprec                 	753	0.2667
bpref                 	753	0.2346
recip_rank            	753	1.0000
iprec_at_recall_0.00  	753	1.0000
iprec_at_recall_0.10  	753	0.8750
iprec_at_recall_0.20  	753	0.6923
iprec_at_recall_0.30  	753	0.2745
iprec_at_recall_0.40  	753	0.1629
iprec_at_recall_0.50  	753	0.1629
iprec_at_recall_0.60  	753	0.1629
iprec_at_recall_0.70  	753	0.1491
iprec_at_recall_0.80  	753	0.1216
iprec_at_recall_0.90  	753	0.1076
iprec_at_recall_1.00  	753	0.0600
P_5                   	753	0.8000
P_10                  	753	0.7000
P_15                  	753	0.6000
P_20                  	753	0.4500
P_30                  	753	0.3333
P_100                 	753	0.1500
P_200                 	753	0.1550
P_500                 	753	0.0840
P_1000                	753	0.0450
num_ret               	754	1000
num_rel               	754	376
num_rel_ret           	754	131
map                   	754	0.0783
Rprec                 	754	0.1835
bpref                 	754	0.1976
recip_rank            	754	0.2500
iprec_at_recall_0.00  	754	0.5000
iprec_at_recall_0.10  	754	0.2585
iprec_at_recall_0.20  	754	0.1723
iprec_at_recall_0.30  	754	0.1388
iprec_at_recall_0.40  	754	0.0000
iprec_at_recall_0.50  	754	0.0000
iprec_at_recall_0.60  	754	0.0000
iprec_at_recall_0.70  	754	0.0000
iprec_at_recall_0.80  	754	0.0000
iprec_at_recall_0.90  	754	0.0000
iprec_at_recall_1.00  	754	0.0000
